IP Address,Port
123.58.199.232,8168
208.102.24.225,8888
159.203.61.169,3128
161.35.70.249,8080
123.30.154.171,7777
41.204.8.1,8246
41.191.203.160,80
41.191.203.167,80
200.174.198.158,8888
41.59.90.175,80
4.156.78.45,80
81.169.213.169,8888
154.201.75.170,8888
139.162.78.109,8080
102.222.161.143,3128
143.42.66.91,80
47.74.157.194,80
51.254.78.223,80
213.143.113.82,80
194.145.200.184,3128
148.230.77.177,8888
8.219.97.248,80
209.97.150.167,8080
133.18.234.13,80
66.36.234.130,1339
32.223.6.94,80
190.58.248.86,80
50.122.86.118,80
152.53.107.230,80
92.67.186.210,80
4.195.16.140,80
108.141.130.146,80
157.180.121.252,21829
62.99.138.162,80
211.230.49.122,3128
89.58.55.33,80
197.221.234.253,80
89.58.57.45,80
5.45.126.128,8080
160.251.142.232,80
47.56.110.204,8989
57.129.81.201,999
0.0.0.0,80
97.74.87.226,80
68.185.57.66,80
127.0.0.7,80
185.36.145.215,80
4.245.123.244,80
212.68.38.172,8080
139.59.1.14,80
128.199.202.122,8080
31.97.62.219,8888
41.59.90.171,80
219.65.73.81,80
103.65.237.92,5678
20.67.56.141,3128
138.68.60.8,80
134.209.29.120,80
57.128.188.167,9174
4.150.160.170,3128
52.188.28.218,3128
219.93.101.62,80
103.249.120.207,80
198.199.86.11,8080
