Name,Type,min_power,max_power,min_frequency,max_frequency,Link
Автоакустика Kicx GT305BPA,сабвуфер,350 Вт,975 Вт,30 Гц,1 500 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_GT305BPA-4097427.html
Автоакустика Infinity Alpha 6530,коаксиальная АС,40 Вт,290 Вт,55 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/infinity/Infinity_Alpha_6530-4547101.html
Автоакустика ACV BTA-12R,сабвуфер,150 Вт,1 600 Вт,38 Гц,122 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_BTA_12R-3929041.html
Автоакустика Nakamichi NSE1658,коаксиальная АС,55 Вт,360 Вт,50 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/nakamichi/Nakamichi_NSE1658-4547124.html
Автоакустика Prology RX-65CS Kraken,компонентная АС,220 Вт,None,35 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/prology/Prology_RX_65CS_Kraken-4736601.html
Автоакустика ACV Craft B10A,сабвуфер,200 Вт,1 200 Вт,38 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_Craft_B10A-4587217.html
Автоакустика Prology PX-692,коаксиальная АС,110 Вт,220 Вт,45 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/prology/Prology_PX_692-5061282.html
Автоакустика Kicx AP301BPA,сабвуфер,350 Вт,600 Вт,45 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_AP301BPA-3203171.html
Автоакустика JVC CS-DR6940,коаксиальная АС,90 Вт,550 Вт,56 Гц,21 000 Гц,https://auto.1k.by/digital-caracoustics/jvc/JVC_CS_DR6940-2497979.html
Автоакустика Урал AK-47 M,коаксиальная АС,170 Вт,None,48 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AK_47_M-4555560.html
Автоакустика Nakamichi NSE1358,коаксиальная АС,45 Вт,300 Вт,98 Гц,19 500 Гц,https://auto.1k.by/digital-caracoustics/nakamichi/Nakamichi_NSE1358-4547112.html
Автоакустика Урал Патриот АС-ПТ200 Элемент 4,среднечастотная АС,180 Вт,360 Вт,102 Гц,12 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_Patriot_AS_PT200_Element_4-4938394.html
Автоакустика KENWOOD KFC-PS6986,коаксиальная АС,140 Вт,600 Вт,60 Гц,22 000 Гц,https://auto.1k.by/digital-caracoustics/kenwood/KENWOOD_KFC_PS6986-3532435.html
Автоакустика DL Audio Phoenix SQL 200,мидбас,180 Вт,None,65 Гц,7 000 Гц,https://auto.1k.by/digital-caracoustics/dlaudio/DL_Audio_Phoenix_SQL_200-4643222.html
Автоакустика Урал Че Гевара,сабвуфер,300 Вт,900 Вт,20 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_CHe_Gevara-4718373.html
Автоакустика Урал Warhead Grand 165,мидбас,200 Вт,None,40 Гц,7 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_Warhead_Grand_165-4817522.html
Автоакустика Kicx RX 301BPA,сабвуфер,400 Вт,600 Вт,45 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_RX_301BPA-4129977.html
Автоакустика Урал АС-У12А,сабвуфер,300 Вт,900 Вт,20 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_Y12A-4186453.html
Автоакустика ACV BTA-10R,сабвуфер,105 Вт,1 500 Вт,38 Гц,250 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_BTA_10R-4050491.html
Автоакустика Infinity Alpha 650C,компонентная АС,45 Вт,315 Вт,55 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/infinity/Infinity_Alpha_650C-4547104.html
Автоакустика Aura Fireball-12.2i,сабвуфер,301 Вт,601 Вт,30 Гц,400 Гц,https://auto.1k.by/digital-caracoustics/aura/Aura_Fireball_122i-5014814.html
Автоакустика Nakamichi NBX255A,сабвуфер,300 Вт,2 000 Вт,40 Гц,150 Гц,https://auto.1k.by/digital-caracoustics/nakamichi/Nakamichi_NBX255A-4741950.html
Автоакустика Kicx AP300BPA,сабвуфер,300 Вт,600 Вт,40 Гц,500 Гц,https://auto.1k.by/digital-caracoustics/kicx/Kicx_AP300BPA-3203173.html
Автоакустика Урал Молния 12,сабвуфер,300 Вт,None,None,None,https://auto.1k.by/digital-caracoustics/ural/Yral_Molniya_12-4695664.html
Автоакустика ACV PB-803G,коаксиальная АС,150 Вт,450 Вт,40 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/acv/ACV_PB_803G-4988078.html
Автоакустика Infinity Reference 9632IX,коаксиальная АС,100 Вт,300 Вт,46 Гц,20 000 Гц,https://auto.1k.by/digital-caracoustics/infinity/Infinity_Reference_9632IX-5004434.html
Автоакустика УРАЛ AS-W130MB,мидбас,150 Вт,300 Вт,44 Гц,7 500 Гц,https://auto.1k.by/digital-caracoustics/ural/YRAL_AS_W130MB-2655041.html
Автоакустика Урал АС-Б1627К,компонентная АС,140 Вт,None,62 Гц,23 000 Гц,https://auto.1k.by/digital-caracoustics/ural/Yral_AS_B1627K-5034396.html
